Time,Feature 1,Feature 2,Feature 3,Num Cases
2017-09-03,0.23,-0.68,-0.33,-2.111536096818994
2017-09-05,0.08,1.19,3.1,0.3487634610092403
2017-09-07,0.01,-0.64,-0.25,-1.9289603398450603
2017-09-11,1.77,-0.46,-0.56,-0.6876083917484608
2017-09-12,-0.05,-0.1,1.0,1.0095772332533042
2017-09-13,-0.15,-0.81,1.05,0.6449781918806105
2017-09-14,2.14,0.26,0.12,0.16193902699323412
2017-09-16,1.84,-0.68,0.16,0.5539878458658327
2017-09-21,-0.32,1.13,-0.13,0.4568939097042324
2017-09-27,0.17,-0.37,-0.09,-1.438401486032685
2017-09-28,-1.34,-0.14,0.55,0.06290608196273843
2017-09-29,1.35,-1.33,-1.16,-1.3915013297199794
2017-09-30,-0.85,-0.44,-1.06,0.24571931779824213
2017-10-04,0.03,-0.26,0.07,-0.8799737928211459
2017-10-07,-1.09,-0.92,1.32,-0.09176508609840447
2017-10-10,-1.0,0.91,-0.23,0.6614812141887453
2017-10-11,0.25,-0.45,-0.56,-2.133712304954424
2017-10-14,1.94,0.41,0.01,0.027841007912957096
2017-10-16,-0.07,-0.58,-0.42,-1.9446128923796042
2017-10-17,-1.38,-1.26,1.32,-0.7901676290842577
2017-10-18,1.97,-0.5,-0.21,-0.01868724002764592
2017-10-21,0.34,-0.42,-0.23,-1.7210596902969801
2017-10-24,-0.18,-0.57,0.99,0.6107312961454806
2017-10-27,0.46,-0.39,0.19,-0.6108555811364831
2017-10-28,1.56,-1.77,-1.26,-1.0136564513292836
2017-10-29,-1.41,-0.33,0.95,-0.1421957218528755
2017-10-30,-0.81,0.27,-0.22,-0.0003158766010515554
2017-10-31,0.46,-0.27,-0.84,-2.005699152431626
2017-11-02,0.29,0.22,-1.88,0.20954340389268603
2017-11-06,-0.77,1.68,-0.52,0.29623361962133965
2017-11-07,0.41,-0.88,-0.64,-2.0407996414016214
2017-11-09,-1.9,1.21,-0.73,1.5423083200882823
2017-11-12,0.66,-0.89,0.39,-0.3486459419697179
2017-11-15,0.14,-0.35,-0.09,-1.3921788575708451
2017-11-17,1.07,-0.09,-0.26,-0.8510226563374991
